STORENAME,SalesPerSqFt,log_SalesPerSqFt,SquareFootage,TotalPopulation,Older25Years,PovertyLevel,Avg_BasketValue,AvgItemsPerBasket,TotalTransactionsPerSqFt,Share_BEER,Share_LIQ,Share_WINE,Share_Weekday,Share_Weekend,Pred_log_OLS,Pred_Sales_OLS,Residual_OLS,ResidualPct_OLS,Pred_log_ENET,Pred_Sales_ENET,Residual_ENET
Aspen Hill,1223.3932808466648,7.10938365459677,7748,37572,24843.6,3669.7,32.22224876007478,2.086942628607171,57.72070211667527,0.09194100604896743,0.6977714221177224,0.20328847890315158,0.6330625844177983,0.360834917595299,7.0572751714290085,1161.276571214731,62.11670963193387,0.05349002224935778,7.118896301860677,1235.0865182366574,-11.693237389992646
Burtonsville,1010.555039690907,6.918255003139585,5500,6478,4479.1,185.4,35.494755142795036,2.2125897259049223,45.48072727272727,0.07254522379257439,0.6319611162440241,0.287861855777677,0.6908425872531905,0.30220901697631886,7.028052322166477,1127.831816581575,-117.27677689066786,-0.10398427776769974,6.968433173104355,1062.556603332576,-52.00156364166901
Cabin John,1730.2119204946925,7.455999177385407,5660,18098,12593.2,714.8,46.40088447396831,2.563410912950363,70.4160777385159,0.06513926830632213,0.5537046281490298,0.3702955106970922,0.6860815708795288,0.3084812532926652,7.266219817543259,1431.130281289306,299.08163920538664,0.2089828180673697,7.274957565151865,1443.689928085322,286.52199240937057
Clarksburg Village,1227.572463086155,7.11279389099037,6163,18185,11795.8,720.8,36.63996111059977,2.1930667415719456,55.37205906214506,0.07730784364745602,0.6179968597543253,0.2971667087992125,0.6739780085889534,0.32001858445038417,7.143136384418995,1265.3909242119862,-37.81846112583116,-0.029886780758588385,7.090024985798198,1199.9377816395522,27.634681446602826
Cloverly,958.0041370078717,6.864852096341361,6350,8890,6161.5,752.3,39.57175464616296,2.3605500588698294,41.245354330708665,0.056960250793847346,0.6696565380833995,0.2658887618730336,0.6859618085222314,0.30775489541513606,6.940069559970173,1032.8420569243801,-74.83791991650844,-0.0724582422014867,6.916368730780678,1008.6506543117883,-50.64651730391665
Darnestown,1524.8088667271004,7.329624347892934,7721,18252,12640.6,560.9,46.89803915788612,2.6426036210090227,62.05582178474291,0.05480183474574207,0.5580775944192383,0.3779366731367948,0.6937882208436449,0.301067146813247,7.2498883618848176,1407.94765880779,116.86120791931035,0.08300110248293256,7.1721869072015085,1302.6903528882526,222.11851383884778
Downtown Rockville,1330.5695435791586,7.1933623578072545,7756,22046,16010.5,2273.3,37.21268914835446,2.475198505708166,60.083677153171735,0.049015343987848924,0.6632904357426849,0.2789770357193228,0.7099061560629581,0.2852397801653341,7.076868802107491,1184.2545715733972,146.31497200576132,0.12355026994860376,7.147943797602888,1271.4888270489078,59.08071653025081
Fallsgrove,1829.172398447601,7.511618902258071,3865,17968,13110.8,813.6,37.12441748847358,2.3900984067971054,80.72833117723157,0.05458230318630218,0.6369366610196409,0.3003628365247791,0.7322561608857265,0.26251071586489727,7.531140464014904,1865.2315204317244,-36.05912198412352,-0.019332249958856216,7.4017236685711465,1638.8067566198763,190.36564182772463
Flower,1386.4105363636356,7.234473338173179,3300,53766,35509.6,7574.9,29.18591449294776,2.0437104089717337,71.72757575757576,0.07121692409981574,0.670492843239924,0.25069297054621825,0.6762330184515266,0.31838933614916815,7.199261594848206,1338.4420868847235,47.968449478912135,0.03583901757793689,7.291079501497432,1467.1536372055398,-80.74310084190415
Gaithersburg,441.8250993377485,6.090914100910891,8154,39659,26681.8,6081.5,33.20437847353433,2.3466022728320075,20.75766494971793,0.043730311288838454,0.7648795403715206,0.18092141970503833,0.671009787800556,0.32442656123470454,6.158927339737044,472.9205196174143,-31.095420279665802,-0.0657518948529058,6.664518389211083,784.085749875867,-342.2606505381185
