STORENAME,TotalSalesPerSqFt,TotalTransactionsPerSqFt,TotalBasketsPerSqFt,Quad_SalesTraffic,Quad_SalesBaskets,Residual_OLS,PerfFlag,Traffic_Opportunity,Basket_Opportunity,ActionPriority
Montrose,3125.355503999981,136.1674,78.3114,High Spend & High Traffic,High Spend & High Baskets,-524.0217255044909,Strong under-performer,Traffic OK,Basket density OK,High
Kingsview,1323.7497862068906,62.61958620689655,42.00331034482759,Low Spend & Low Traffic,Low Spend & High Baskets,-182.47527611040368,Strong under-performer,Fundamental issue: traffic + value,"Increase basket value (mix, pricing, upsell)",High
Seneca Meadows,2048.850247692296,91.32815384615385,55.45076923076923,High Spend & High Traffic,High Spend & High Baskets,-178.6224514621813,Strong under-performer,Traffic OK,Basket density OK,High
Burtonsville,1010.555039690907,45.48072727272727,28.470545454545455,Low Spend & Low Traffic,Low Spend & Low Baskets,-117.27677689066786,Strong under-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),High
Kensington,2737.805480412355,121.89814432989691,68.40886597938145,High Spend & High Traffic,High Spend & High Baskets,-98.41627646050347,Strong under-performer,Traffic OK,Basket density OK,High
Cloverly,958.0041370078717,41.245354330708665,24.209291338582677,Low Spend & Low Traffic,Low Spend & Low Baskets,-74.83791991650844,Moderate under-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),High
Olney,2348.6250987654225,102.0367901234568,61.10123456790124,High Spend & High Traffic,High Spend & High Baskets,-57.96803159267756,Moderate under-performer,Traffic OK,Basket density OK,High
Westbard,439.9031460000001,17.289,8.5254,Low Spend & Low Traffic,Low Spend & Low Baskets,-52.611580254876,Moderate under-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),High
Clarksburg Village,1227.572463086155,55.37205906214506,33.50365081940613,Low Spend & Low Traffic,Low Spend & Low Baskets,-37.81846112583116,Moderate under-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),High
Fallsgrove,1829.172398447601,80.72833117723157,49.27141009055627,High Spend & High Traffic,High Spend & High Baskets,-36.05912198412352,Moderate under-performer,Traffic OK,Basket density OK,High
Gaithersburg,441.8250993377485,20.75766494971793,13.306230071130733,Low Spend & Low Traffic,Low Spend & Low Baskets,-31.095420279665802,Moderate under-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),High
Leisure World,1233.6820366666623,58.669,35.62266666666667,Low Spend & Low Traffic,Low Spend & Low Baskets,-10.043139979486568,Near model expectation,Fundamental issue: traffic + value,Structural weakness (frequency + value),Medium
Poolesville,618.4789850000001,26.614,18.8575,Low Spend & Low Traffic,Low Spend & Low Baskets,6.545163428069941,Near model expectation,Fundamental issue: traffic + value,Structural weakness (frequency + value),Medium
Muddy Branch,1971.1239984374904,80.8596875,45.73625,High Spend & High Traffic,High Spend & High Baskets,32.85756267623128,Moderate over-performer,Traffic OK,Basket density OK,Low
Wheaton,1809.4063972602687,86.12739726027397,61.596712328767126,High Spend & High Traffic,High Spend & High Baskets,39.965807420208876,Moderate over-performer,Traffic OK,Basket density OK,Low
Potomac,2807.9980353483497,97.14139344262296,51.635502049180324,High Spend & High Traffic,High Spend & High Baskets,42.35697334658698,Moderate over-performer,Traffic OK,Basket density OK,Low
Hampden Lane,3077.3813679999844,117.9626,60.7748,High Spend & High Traffic,High Spend & High Baskets,47.31004953213733,Moderate over-performer,Traffic OK,Basket density OK,Low
Flower,1386.4105363636356,71.72757575757576,47.50272727272727,Low Spend & High Traffic,Low Spend & High Baskets,47.968449478912135,Moderate over-performer,Improve conversion / basket value,"Increase basket value (mix, pricing, upsell)",Low
Walnut Hill,1609.788697424887,69.9351931330472,48.55321888412017,High Spend & High Traffic,High Spend & High Baskets,53.54362239268448,Moderate over-performer,Traffic OK,Basket density OK,Low
Aspen Hill,1223.3932808466648,57.72070211667527,37.96734641197728,Low Spend & Low Traffic,Low Spend & Low Baskets,62.11670963193387,Moderate over-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),Low
King Farm,1278.148259351619,60.517955112219454,38.161596009975064,Low Spend & Low Traffic,Low Spend & Low Baskets,63.06403156992292,Moderate over-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),Low
White Oak Town Center,1090.7648509090882,54.454181818181816,37.244727272727275,Low Spend & Low Traffic,Low Spend & Low Baskets,74.39430200914956,Moderate over-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),Low
Silver Spring,2161.959615053755,96.19548387096775,59.226451612903226,High Spend & High Traffic,High Spend & High Baskets,110.64152220126243,Strong over-performer,Traffic OK,Basket density OK,Low
Darnestown,1524.8088667271004,62.05582178474291,32.51327548245046,High Spend & Low Traffic,High Spend & Low Baskets,116.86120791931035,Strong over-performer,Increase traffic (awareness/location/selection),Increase visit frequency / basket count,Low
Goshen Crossing,1640.6535865369688,75.2328238381967,48.5184498996449,High Spend & High Traffic,High Spend & High Baskets,141.2059804715284,Strong over-performer,Traffic OK,Basket density OK,Low
Downtown Rockville,1330.5695435791586,60.083677153171735,35.75580195977308,Low Spend & Low Traffic,Low Spend & Low Baskets,146.31497200576132,Strong over-performer,Fundamental issue: traffic + value,Structural weakness (frequency + value),Low
Cabin John,1730.2119204946925,70.4160777385159,37.288339222614844,High Spend & High Traffic,High Spend & Low Baskets,299.08163920538664,Strong over-performer,Traffic OK,Increase visit frequency / basket count,Low
