STORENAME,SquareFootage,TotalPopulation,TotalSales,TotalTransactions,TotalBaskets,TotalSalesPerSqFt,TotalTransactionsPerSqFt,TotalBasketsPerSqFt,Avg_BasketValue,AvgBasketValue,AvgItemsPerBasket,Older25Years,PovertyLevel,Share_BEER,Share_LIQ,Share_MISC,Share_WINE,Share_Holiday,Share_Weekday,Share_Weekend
Aspen Hill,7748,37572,9478851.139999958,447220,294171,1223.3932808466648,57.72070211667527,37.96734641197728,32.22224876007478,32.22224876007492,2.086942628607171,24843.6,3669.7,0.09194100604896743,0.6977714221177224,0.006999092930158634,0.20328847890315158,0.006102497986902671,0.6330625844177983,0.360834917595299
Burtonsville,5500,6478,5558052.718299989,250144,156588,1010.555039690907,45.48072727272727,28.470545454545455,35.494755142795036,35.49475514279511,2.2125897259049223,4479.1,185.4,0.07254522379257439,0.6319611162440241,0.00763180418572461,0.287861855777677,0.006948395770490688,0.6908425872531905,0.30220901697631886
Cabin John,5660,18098,9792999.46999996,398555,211052,1730.2119204946925,70.4160777385159,37.288339222614844,46.40088447396831,46.4008844739685,2.563410912950363,12593.2,714.8,0.06513926830632213,0.5537046281490298,0.010860592847555833,0.3702955106970922,0.0054371758278059104,0.6860815708795288,0.3084812532926652
Clarksburg Village,6163,18185,7565529.089999973,341258,206483,1227.572463086155,55.37205906214506,33.50365081940613,36.63996111059977,36.639961110599906,2.1930667415719456,11795.8,720.8,0.07730784364745602,0.6179968597543253,0.007528587799006139,0.2971667087992125,0.006003406960662421,0.6739780085889534,0.32001858445038417
Cloverly,6350,8890,6083326.269999986,261908,153729,958.0041370078717,41.245354330708665,24.209291338582677,39.57175464616296,39.57175464616305,2.3605500588698294,6161.5,752.3,0.056960250793847346,0.6696565380833995,0.007494449249719428,0.2658887618730336,0.006283296062632521,0.6859618085222314,0.30775489541513606
Darnestown,7721,18252,11773049.259999942,479133,251035,1524.8088667271004,62.05582178474291,32.51327548245046,46.89803915788612,46.89803915788635,2.6426036210090227,12640.6,560.9,0.05480183474574207,0.5580775944192383,0.009183897698224712,0.3779366731367948,0.005144632343108036,0.6937882208436449,0.301067146813247
Downtown Rockville,7756,22046,10319897.379999954,466009,277322,1330.5695435791586,60.083677153171735,35.75580195977308,37.21268914835446,37.21268914835462,2.475198505708166,16010.5,2273.3,0.049015343987848924,0.6632904357426849,0.008717184550143283,0.2789770357193228,0.004854063771707787,0.7099061560629581,0.2852397801653341
Fallsgrove,3865,17968,7069751.319999978,312015,190434,1829.172398447601,80.72833117723157,49.27141009055627,37.12441748847358,37.124417488473696,2.3900984067971054,13110.8,813.6,0.05458230318630218,0.6369366610196409,0.008118199269277834,0.3003628365247791,0.005233123249376193,0.7322561608857265,0.26251071586489727
Flower,3300,53766,4575154.769999998,236701,156759,1386.4105363636356,71.72757575757576,47.50272727272727,29.18591449294776,29.185914492947774,2.0437104089717337,35509.6,7574.9,0.07121692409981574,0.670492843239924,0.007597262114042098,0.25069297054621825,0.005377645399305255,0.6762330184515266,0.31838933614916815
Gaithersburg,8154,39659,3602641.8600000013,169258,108499,441.8250993377485,20.75766494971793,13.306230071130733,33.20437847353433,33.20437847353432,2.3466022728320075,26681.8,6081.5,0.043730311288838454,0.7648795403715206,0.010468728634602607,0.18092141970503833,0.004563650964739525,0.671009787800556,0.32442656123470454
Goshen Crossing,6477,24017,10626513.279999947,487283,314254,1640.6535865369688,75.2328238381967,48.5184498996449,33.81504540912748,33.81504540912765,2.209120647628988,16306.9,2221.6,0.03753174154975516,0.7413305157042059,0.006656165398402454,0.21448157734763648,0.005904644199531846,0.6559464629963735,0.3381488928040947
Hampden Lane,5000,33045,15386906.839999922,589813,303874,3077.3813679999844,117.9626,60.7748,50.6358123432736,50.635812343273855,2.8515239869156295,24432.2,1414.3,0.04944658584804962,0.5869588529984232,0.010975865504102861,0.3526186956494242,0.004539955348166662,0.7094087176523121,0.28605132699952135
Kensington,4850,28513,13278356.579999922,591206,331783,2737.805480412355,121.89814432989691,68.40886597938145,40.02120838017596,40.0212083801762,2.4008222241645893,20338.8,1488,0.07964346217308785,0.5720782292773758,0.011012136111801893,0.3372661724377345,0.004962645761392873,0.6848380757974785,0.3101992784411286
King Farm,4010,20736,5125374.519999992,242677,153028,1278.148259351619,60.517955112219454,38.161596009975064,33.49305042214492,33.49305042214497,2.1855346733931045,15123.6,1383.1,0.041658405481751974,0.6720429944307758,0.008175152827661066,0.27812344725981114,0.005425470839543641,0.7136018540163188,0.28097267514413754
