STORENAME,SalesPerSqFt,Pred_Sales_OLS,Residual_OLS
Cabin John,1730.2119204946925,1431.130281289306,299.08163920538664
Downtown Rockville,1330.5695435791586,1184.2545715733972,146.31497200576132
Goshen Crossing,1640.6535865369688,1499.4476060654404,141.2059804715284
Darnestown,1524.8088667271004,1407.94765880779,116.86120791931035
Silver Spring,2161.959615053755,2051.3180928524926,110.64152220126243
White Oak Town Center,1090.7648509090882,1016.3705488999386,74.39430200914956
King Farm,1278.148259351619,1215.084227781696,63.06403156992292
Aspen Hill,1223.3932808466648,1161.276571214731,62.11670963193387
Walnut Hill,1609.788697424887,1556.2450750322025,53.54362239268448
Flower,1386.4105363636356,1338.4420868847235,47.968449478912135
Hampden Lane,3077.3813679999844,3030.071318467847,47.31004953213733
Potomac,2807.9980353483497,2765.6410620017627,42.35697334658698
Wheaton,1809.4063972602687,1769.4405898400598,39.965807420208876
Muddy Branch,1971.1239984374904,1938.2664357612591,32.85756267623128
Poolesville,618.4789850000001,611.9338215719301,6.545163428069941
Leisure World,1233.6820366666623,1243.7251766461488,-10.043139979486568
Gaithersburg,441.8250993377485,472.9205196174143,-31.095420279665802
Fallsgrove,1829.172398447601,1865.2315204317244,-36.05912198412352
Clarksburg Village,1227.572463086155,1265.3909242119862,-37.81846112583116
Westbard,439.9031460000001,492.5147262548761,-52.611580254876
Olney,2348.6250987654225,2406.5931303581,-57.96803159267756
Cloverly,958.0041370078717,1032.8420569243801,-74.83791991650844
Kensington,2737.805480412355,2836.2217568728584,-98.41627646050347
Burtonsville,1010.555039690907,1127.831816581575,-117.27677689066786
Seneca Meadows,2048.850247692296,2227.472699154477,-178.6224514621813
Kingsview,1323.7497862068906,1506.2250623172943,-182.47527611040368
Montrose,3125.355503999981,3649.377229504472,-524.0217255044909
