STORENAME,Sales2024,SquareFootage,SalesPerSqFt,TotalPopulation,White,Black,Hispanic,Older25Years,PovertyLevel,TwicePovertyLevel
Aspen Hill,5422968.1,7748,699.92,37572,9505.72,6575.1,15479.66,24843.6,3669.7,10973
Burtonsville,3325241.3,5500,604.59,6478,1392.77,2403.34,693.15,4479.1,185.4,613.1
Cabin John,6176565,5660,1091.27,18098,10008.19,1592.62,2334.64,12593.2,714.8,1407.2
Clarksburg Village,4612464.5,6163,748.41,18185,4291.66,2855.05,2091.28,11795.8,720.8,1703.6
Cloverly,3620707.1,6350,570.19,8890,2889.25,2533.65,1760.22,6161.5,752.3,1041.3
Darnestown,7161205.3,7721,927.5,18252,11060.71,1149.88,1314.14,12640.6,560.9,1317.3
Downtown Rockville,6374536.6,7756,821.88,22046,10339.57,2292.78,4144.65,16010.5,2273.3,3750.4
Fallsgrove,4431957.6,3865,1146.69,17968,7600.46,2731.14,1994.45,13110.8,813.6,1922.4
Flower,2710972.9,3300,821.51,53766,14839.42,14301.76,18656.8,35509.6,7574.9,18468.3
Gaithersburg,2454644.9,8154,301.04,39659,8606,8209.41,15546.33,26681.8,6081.5,15286.6
Goshen Crossing,6222081.6,6477,960.64,24017,6196.39,5355.79,7925.61,16306.9,2221.6,4617.3
Hampden Lane,9705222,5000,1941.04,33045,23990.67,1487.03,2544.47,24432.2,1414.3,3588.1
Kensington,7513238.3,4850,1549.12,28513,15397.02,2879.81,6472.45,20338.8,1488,3877.5
King Farm,3164306.7,4010,789.1,20736,9621.5,1949.18,3317.76,15123.6,1383.1,2935.6
Kingsview,5694087.4,7250,785.39,30469,8165.69,7038.34,7586.78,20646,2176.5,4847.5
Leisure World,4401142,6000,733.52,29954,12101.42,6829.51,6500.02,22005.3,2836,7582.7
Montrose,9412927.9,5000,1882.59,34925,14214.48,5832.48,5099.05,25372,3490,7409.2
Muddy Branch,7861606.2,6400,1228.38,29260,12289.2,2867.48,3540.46,20443.4,1073.6,3188.4
Olney,5584153.4,4050,1378.8,18706,10325.71,2768.49,2151.19,12666.7,820.8,1658.5
Poolesville,867994.2,2000,434,5747,4321.74,114.94,626.42,4149.5,403,515.6
Potomac,7144381.4,3904,1830.02,5391,3304.68,495.97,307.29,3880.9,299,555.3
Seneca Meadows,7901894,6500,1215.68,20887,4783.12,6412.31,3905.87,13780.4,1710.1,3065.4
Silver Spring,5796439.8,4650,1246.55,53006,21785.47,18340.08,6148.7,39554.1,3596.2,10127.1
Walnut Hill,4272702,4660,916.89,26189,4844.97,4583.08,10920.81,16896.5,3929.2,9453.8
Westbard,207020.2,5000,41.4,33637,24756.83,1210.93,2993.69,24001.4,1500,3240.1
Wheaton,4690335.8,3650,1285.02,37940,11685.52,6753.32,14720.72,25984.4,3733,8196.9
White Oak Town Center,3957070.7,5500,719.47,19753,3575.29,10370.33,2883.94,13532.1,1858,4226.8
